SKU,Product Name,Category,Location(s),Average Cost,Total Stock,On Order,Stock Min,Stock Max,Discontinued,hidden carton qty,hidden outer qty,hidden barcode unit,hidden barcode outer,hidden barcode carton
-,eBay | Pod/Kit | BIG Hyola Ultra 30K Kit | % [Berry Mix Edition Kit],-,,0.00,0,0,5,100,N,1,1,,,
01TESTDC,Test Product (Dave C) [Default Title],Test,ASTON F1-P2  ASTON F1-P1,1.50,17514,0,1,1,N,22,10,5056168822330,,
18PLUS-POS-POSTER-A3,18PLUS - POS - POSTERS [A3],POS,,0.01,690,0,1,1,Y,1,1,POS,POS,
18PLUS-POS-POSTER-A4,18PLUS - POS - POSTERS [A4],POS,,0.01,617,1,1,1,Y,1,1,POS,POS,
1GSSBJ2025-PMB,1M Gantry Shelf Strip Bundle June 2025 [Shelf Strip Bundle],POS,ELECTRA G23-S1  ELECTRA D4-S1,9.24,0,0,1,1,Y,1,1,00000000000,00000000000,
1WG-POS,1m Wall Gantry [POS],POS,,0.00,-69,0,5,11,N,1,1,,,
5LRB-POS,5 Litre Recycling Bucket [Recycling Bucket],Recycling,,35.00,-53,0,1,3,N,1,1,,,
5LRBFOC-POS,5 Litre Recycling Bucket FOC [Recycling Bucket],Recycling,,0.01,0,0,1,1,N,1,1,,,
77GMESCI20-NP,77 Ghost Mini Extra Strong Nicotine Pouches [Cola Ice / 20mg],Nicotine Pouches,ELECTRA G22-A7  MEZ-ASTON Z2-A3  WITTON TRADE C6-C2,1.18,-2,100,1,3,N,200,10,5906670981968,5906670988004,
77GMESGO20-NP,77 Ghost Mini Extra Strong Nicotine Pouches [Ghost Original / 20mg],Nicotine Pouches,ELECTRA G22-A8  MEZ-ASTON Z2-B3  WITTON TRADE C6-D1,1.14,92,0,17,33,N,200,10,5906670981999,5906670987946,
77GMESM20-NP,77 Ghost Mini Extra Strong Nicotine Pouches [Mango / 20mg],Nicotine Pouches,ELECTRA G22-A9  MEZ-ASTON Z2-C3  WITTON TRADE C6-A4,1.15,9,100,7,13,N,200,10,5906670981975,5906670987984,
77LCC5-NP,77 Light Nicotine Pouches [Cola & Cherry / 5.2mg],Nicotine Pouches,ELECTRA G22-A10  MEZ-ASTON Z2-D3  WITTON TRADE C6-H11,1.15,-48,150,1,1,N,200,10,5907053716290,5907053718270,
77LCV5-NP,77 Light Nicotine Pouches [Cola & Vanilla / 5.2mg],Nicotine Pouches,ELECTRA G22-A11  MEZ-ASTON Z2-E3  WITTON TRADE C6-E1,1.15,-30,150,1,1,N,200,10,5907053716283,5907053718256,
