Type,Location,Building,Aisle,Rack,Shelf,Bin,SKU(s),QTY,Actions
PICK,ASTON A0-A3,ASTON,A,0,A,3,-,-,Delete
PICK,ASTON A0-A4,ASTON,A,0,A,4,-,-,Delete
PICK,ASTON A0-A5,ASTON,A,0,A,5,-,-,Delete
PICK,ASTON A0-B1,ASTON,A,0,B,1,-,-,Delete
PICK,ASTON A0-B2,ASTON,A,0,B,2,-,-,Delete
PICK,ASTON A0-B3,ASTON,A,0,B,3,-,-,Delete
PICK,ASTON A0-B4,ASTON,A,0,B,4,-,-,Delete
PICK,ASTON A0-B5,ASTON,A,0,B,5,-,-,Delete
PICK,ASTON A0-C1,ASTON,A,0,C,1,-,-,Delete
PICK,ASTON A0-C2,ASTON,A,0,C,2,-,-,Delete
PICK,ASTON A0-C3,ASTON,A,0,C,3,-,-,Delete
PICK,ASTON A0-C4,ASTON,A,0,C,4,-,-,Delete
PICK,ASTON A0-C5,ASTON,A,0,C,5,-,-,Delete
PICK,ASTON A0-D1,ASTON,A,0,D,1,-,-,Delete
PICK,ASTON A0-D2,ASTON,A,0,D,2,-,-,Delete
PICK,ASTON A0-D3,ASTON,A,0,D,3,-,-,Delete
PICK,ASTON A0-D4,ASTON,A,0,D,4,-,-,Delete
PICK,ASTON A0-D5,ASTON,A,0,D,5,-,-,Delete
PICK,ASTON A0-E1,ASTON,A,0,E,1,-,-,Delete
PICK,ASTON A0-E2,ASTON,A,0,E,2,-,-,Delete
PICK,ASTON A0-E3,ASTON,A,0,E,3,-,-,Delete
PICK,ASTON A0-E4,ASTON,A,0,E,4,-,-,Delete
PICK,ASTON A0-E5,ASTON,A,0,E,5,-,-,Delete
PICK,ASTON A0-F1,ASTON,A,0,F,1,-,-,Delete
PICK,ASTON A0-F2,ASTON,A,0,F,2,-,-,Delete
PICK,ASTON A0-F3,ASTON,A,0,F,3,-,-,Delete
PICK,ASTON A0-F4,ASTON,A,0,F,4,-,-,Delete
PICK,ASTON A0-F5,ASTON,A,0,F,5,-,-,Delete
PICK,ASTON A0-G1,ASTON,A,0,G,1,-,-,Delete
PICK,ASTON A0-G2,ASTON,A,0,G,2,-,-,Delete
PICK,ASTON A0-G3,ASTON,A,0,G,3,-,-,Delete
PICK,ASTON A0-G4,ASTON,A,0,G,4,-,-,Delete
PICK,ASTON A0-G5,ASTON,A,0,G,5,-,-,Delete
PICK,ASTON A0-H1,ASTON,A,0,H,1,-,-,Delete
PICK,ASTON A0-H2,ASTON,A,0,H,2,-,-,Delete
PICK,ASTON A0-H3,ASTON,A,0,H,3,-,-,Delete
PICK,ASTON A0-H4,ASTON,A,0,H,4,-,-,Delete
PICK,ASTON A0-H5,ASTON,A,0,H,5,-,-,Delete
PICK,ASTON A0-I1,ASTON,A,0,I,1,-,-,Delete
PICK,ASTON A0-I2,ASTON,A,0,I,2,-,-,Delete
PICK,ASTON A0-I3,ASTON,A,0,I,3,-,-,Delete
PICK,ASTON A0-I4,ASTON,A,0,I,4,-,-,Delete
