SKU,Product Name,Category,Total Stock,hidden carton qty,hidden outer qty,hidden barcode unit,hidden barcode outer,hidden barcode carton,Location,Units
-,eBay | Pod/Kit | BIG Hyola Ultra 30K Kit | % [Berry Mix Edition Kit],-,0,1,1,,,,UNLOCATED,0
01TESTDC,Test Product (Dave C) [Default Title],Test,17514,22,10,5056168822330,,,UNLOCATED,0
18PLUS-POS-POSTER-A3,18PLUS - POS - POSTERS [A3],POS,690,1,1,POS,POS,,UNLOCATED,0
18PLUS-POS-POSTER-A4,18PLUS - POS - POSTERS [A4],POS,617,1,1,POS,POS,,UNLOCATED,0
1GSSBJ2025-PMB,1M Gantry Shelf Strip Bundle June 2025 [Shelf Strip Bundle],POS,0,1,1,00000000000,00000000000,,ELECTRA D4-S1,7
1WG-POS,1m Wall Gantry [POS],POS,-69,1,1,,,,UNLOCATED,0
5LRB-POS,5 Litre Recycling Bucket [Recycling Bucket],Recycling,-53,1,1,,,,UNLOCATED,0
5LRBFOC-POS,5 Litre Recycling Bucket FOC [Recycling Bucket],Recycling,0,1,1,,,,UNLOCATED,0
77GMESCI20-NP,77 Ghost Mini Extra Strong Nicotine Pouches [Cola Ice / 20mg],Nicotine Pouches,-2,200,10,5906670981968,5906670988004,,ELECTRA G22-A7,1
77GMESCI20-NP,77 Ghost Mini Extra Strong Nicotine Pouches [Cola Ice / 20mg],Nicotine Pouches,-2,200,10,5906670981968,5906670988004,,MEZ-ASTON Z2-A3,1
77GMESCI20-NP,77 Ghost Mini Extra Strong Nicotine Pouches [Cola Ice / 20mg],Nicotine Pouches,-2,200,10,5906670981968,5906670988004,,WITTON TRADE C6-C2,1
77GMESGO20-NP,77 Ghost Mini Extra Strong Nicotine Pouches [Ghost Original / 20mg],Nicotine Pouches,92,200,10,5906670981999,5906670987946,,ELECTRA G22-A8,1
77GMESGO20-NP,77 Ghost Mini Extra Strong Nicotine Pouches [Ghost Original / 20mg],Nicotine Pouches,92,200,10,5906670981999,5906670987946,,MEZ-ASTON Z2-B3,1
77GMESGO20-NP,77 Ghost Mini Extra Strong Nicotine Pouches [Ghost Original / 20mg],Nicotine Pouches,92,200,10,5906670981999,5906670987946,,WITTON TRADE C6-D1,1
77GMESM20-NP,77 Ghost Mini Extra Strong Nicotine Pouches [Mango / 20mg],Nicotine Pouches,9,200,10,5906670981975,5906670987984,,ELECTRA G22-A9,1
77GMESM20-NP,77 Ghost Mini Extra Strong Nicotine Pouches [Mango / 20mg],Nicotine Pouches,9,200,10,5906670981975,5906670987984,,MEZ-ASTON Z2-C3,1
77GMESM20-NP,77 Ghost Mini Extra Strong Nicotine Pouches [Mango / 20mg],Nicotine Pouches,9,200,10,5906670981975,5906670987984,,WITTON TRADE C6-A4,1
77LCC5-NP,77 Light Nicotine Pouches [Cola & Cherry / 5.2mg],Nicotine Pouches,-48,200,10,5907053716290,5907053718270,,ELECTRA G22-A10,1
77LCC5-NP,77 Light Nicotine Pouches [Cola & Cherry / 5.2mg],Nicotine Pouches,-48,200,10,5907053716290,5907053718270,,MEZ-ASTON Z2-D3,1
77LCC5-NP,77 Light Nicotine Pouches [Cola & Cherry / 5.2mg],Nicotine Pouches,-48,200,10,5907053716290,5907053718270,,WITTON TRADE C6-H11,1
77LCV5-NP,77 Light Nicotine Pouches [Cola & Vanilla / 5.2mg],Nicotine Pouches,-30,200,10,5907053716283,5907053718256,,ELECTRA G22-A11,1
77LCV5-NP,77 Light Nicotine Pouches [Cola & Vanilla / 5.2mg],Nicotine Pouches,-30,200,10,5907053716283,5907053718256,,MEZ-ASTON Z2-E3,1
77LCV5-NP,77 Light Nicotine Pouches [Cola & Vanilla / 5.2mg],Nicotine Pouches,-30,200,10,5907053716283,5907053718256,,WITTON TRADE C6-E1,1
77LFF5-NP,77 Light Nicotine Pouches [Forest Fruits / 5.2mg],Nicotine Pouches,0,200,10,5905591987998,5906670985560,,ELECTRA G22-F1,1
77LFF5-NP,77 Light Nicotine Pouches [Forest Fruits / 5.2mg],Nicotine Pouches,0,200,10,5905591987998,5906670985560,,MEZ-ASTON Z2-F3,1
77LFF5-NP,77 Light Nicotine Pouches [Forest Fruits / 5.2mg],Nicotine Pouches,0,200,10,5905591987998,5906670985560,,WITTON TRADE C6-D12,1
77LFM5-NP,77 Light Nicotine Pouches [Fresh Mint / 5.2mg],Nicotine Pouches,80,200,10,5905591987981,5907053702651,,ELECTRA G22-F2,1
77LFM5-NP,77 Light Nicotine Pouches [Fresh Mint / 5.2mg],Nicotine Pouches,80,200,10,5905591987981,5907053702651,,MEZ-ASTON Z2-G3,1
77LFM5-NP,77 Light Nicotine Pouches [Fresh Mint / 5.2mg],Nicotine Pouches,80,200,10,5905591987981,5907053702651,,WITTON TRADE C6-A5,1
77LIM5-NP,77 Light Nicotine Pouches [Ice Mint / 5.2mg],Nicotine Pouches,73,200,10,5905591988001,5906670981487,,ELECTRA G22-F3,1
77LIM5-NP,77 Light Nicotine Pouches [Ice Mint / 5.2mg],Nicotine Pouches,73,200,10,5905591988001,5906670981487,,MEZ-ASTON Z2-H3,1
77LIM5-NP,77 Light Nicotine Pouches [Ice Mint / 5.2mg],Nicotine Pouches,73,200,10,5905591988001,5906670981487,,WITTON TRADE C6-E11,1
